datum,pohlavi_kod,pohlavi,vekova_skupina_kod,vekova_skupina,pocet_ukoncenych_pripadu_dpn,pocet_prostonanych_dnu,prumerna_delka_trvani_jednoho_pripadu_dpn
2021-09-30,T,Celkem,60+,60 a více let,133713,8388741,62.74
2021-12-31,F,Žena,0-20,do 20 let,12405,225423,18.17
2021-12-31,F,Žena,20-29,20 - 29 let,236810,6329759,26.73
2021-12-31,F,Žena,30-39,30 - 39 let,267706,8632402,32.25
2021-12-31,F,Žena,40-49,40 - 49 let,434457,14757020,33.97
2021-12-31,F,Žena,50-59,50 - 59 let,363973,16285954,44.74
2021-12-31,F,Žena,60+,60 a více let,82455,4328731,52.5
2021-12-31,M,Muž,0-20,do 20 let,16916,256254,15.15
2021-12-31,M,Muž,20-29,20 - 29 let,289369,5457636,18.86
2021-12-31,M,Muž,30-39,30 - 39 let,308601,7440511,24.11
2021-12-31,M,Muž,40-49,40 - 49 let,329237,10840051,32.92
2021-12-31,M,Muž,50-59,50 - 59 let,269177,12340350,45.84
2021-12-31,M,Muž,60+,60 a více let,106862,6805076,63.68
2021-12-31,T,Celkem,0-20,do 20 let,29321,481677,16.43
2021-12-31,T,Celkem,20-29,20 - 29 let,526179,11787395,22.4
2021-12-31,T,Celkem,30-39,30 - 39 let,576307,16072913,27.89
2021-12-31,T,Celkem,40-49,40 - 49 let,763694,25597071,33.52
2021-12-31,T,Celkem,50-59,50 - 59 let,633150,28626304,45.21
2021-12-31,T,Celkem,60+,60 a více let,189317,11133807,58.81
2022-03-31,F,Žena,0-20,do 20 let,5590,76640,13.71
2022-03-31,F,Žena,20-29,20 - 29 let,118687,1971378,16.61
2022-03-31,F,Žena,30-39,30 - 39 let,151801,2783951,18.34
2022-03-31,F,Žena,40-49,40 - 49 let,258456,4885217,18.9
2022-03-31,F,Žena,50-59,50 - 59 let,186983,4962640,26.54
2022-03-31,F,Žena,60+,60 a více let,40230,1228394,30.53
2022-03-31,M,Muž,0-20,do 20 let,7596,88577,11.66
2022-03-31,M,Muž,20-29,20 - 29 let,134223,1770271,13.19
2022-03-31,M,Muž,30-39,30 - 39 let,164851,2551680,15.48
2022-03-31,M,Muž,40-49,40 - 49 let,183229,3533383,19.28
2022-03-31,M,Muž,50-59,50 - 59 let,131682,3755105,28.52
2022-03-31,M,Muž,60+,60 a více let,45240,1817385,40.17
2022-03-31,T,Celkem,0-20,do 20 let,13186,165217,12.53
2022-03-31,T,Celkem,20-29,20 - 29 let,252910,3741649,14.79
2022-03-31,T,Celkem,30-39,30 - 39 let,316652,5335631,16.85
2022-03-31,T,Celkem,40-49,40 - 49 let,441685,8418600,19.06
2022-03-31,T,Celkem,50-59,50 - 59 let,318665,8717745,27.36
2022-03-31,T,Celkem,60+,60 a více let,85470,3045779,35.64
2022-06-30,F,Žena,0-20,do 20 let,8472,125364,14.8
2022-06-30,F,Žena,20-29,20 - 29 let,179475,3459969,19.28
2022-06-30,F,Žena,30-39,30 - 39 let,221638,4861496,21.93
2022-06-30,F,Žena,40-49,40 - 49 let,360616,8282947,22.97
2022-06-30,F,Žena,50-59,50 - 59 let,285798,8981808,31.43
2022-06-30,F,Žena,60+,60 a více let,66775,2475321,37.07
2022-06-30,M,Muž,0-20,do 20 let,11362,141552,12.46
2022-06-30,M,Muž,20-29,20 - 29 let,199207,2887300,14.49
2022-06-30,M,Muž,30-39,30 - 39 let,234729,4172868,17.78
2022-06-30,M,Muž,40-49,40 - 49 let,251251,5943519,23.66
2022-06-30,M,Muž,50-59,50 - 59 let,191730,6754162,35.23
2022-06-30,M,Muž,60+,60 a více let,71295,3464437,48.59
2022-06-30,T,Celkem,0-20,do 20 let,19834,266916,13.46
2022-06-30,T,Celkem,20-29,20 - 29 let,378682,6347269,16.76
2022-06-30,T,Celkem,30-39,30 - 39 let,456367,9034364,19.8
2022-06-30,T,Celkem,40-49,40 - 49 let,611867,14226466,23.25
2022-06-30,T,Celkem,50-59,50 - 59 let,477528,15735970,32.95
2022-06-30,T,Celkem,60+,60 a více let,138070,5939758,43.02
2022-09-30,F,Žena,0-20,do 20 let,11251,169822,15.09
2022-09-30,F,Žena,20-29,20 - 29 let,235215,4753084,20.21
2022-09-30,F,Žena,30-39,30 - 39 let,282058,6611205,23.44
2022-09-30,F,Žena,40-49,40 - 49 let,445870,11050387,24.78
2022-09-30,F,Žena,50-59,50 - 59 let,366734,12326810,33.61
2022-09-30,F,Žena,60+,60 a více let,87951,3533624,40.18
2022-09-30,M,Muž,0-20,do 20 let,14826,189119,12.76
2022-09-30,M,Muž,20-29,20 - 29 let,262431,3938000,15.01
2022-09-30,M,Muž,30-39,30 - 39 let,302307,5617854,18.58
2022-09-30,M,Muž,40-49,40 - 49 let,314497,7984256,25.39
2022-09-30,M,Muž,50-59,50 - 59 let,245493,9235381,37.62
2022-09-30,M,Muž,60+,60 a více let,93930,4847960,51.61
2022-09-30,T,Celkem,0-20,do 20 let,26077,358941,13.76
2022-09-30,T,Celkem,20-29,20 - 29 let,497646,8691084,17.46
2022-09-30,T,Celkem,30-39,30 - 39 let,584365,12229059,20.93
2022-09-30,T,Celkem,40-49,40 - 49 let,760367,19034643,25.03
2022-09-30,T,Celkem,50-59,50 - 59 let,612227,21562191,35.22
2022-09-30,T,Celkem,60+,60 a více let,181881,8381584,46.08
2022-12-31,F,Žena,0-20,do 20 let,15440,226022,14.64
2022-12-31,F,Žena,20-29,20 - 29 let,310198,6159800,19.86
2022-12-31,F,Žena,30-39,30 - 39 let,365438,8480316,23.21
2022-12-31,F,Žena,40-49,40 - 49 let,565940,14081580,24.88
2022-12-31,F,Žena,50-59,50 - 59 let,482284,16089069,33.36
2022-12-31,F,Žena,60+,60 a více let,120013,4872894,40.6
2022-12-31,M,Muž,0-20,do 20 let,19911,251918,12.65
2022-12-31,M,Muž,20-29,20 - 29 let,340361,5094126,14.97
2022-12-31,M,Muž,30-39,30 - 39 let,387664,7230214,18.65
2022-12-31,M,Muž,40-49,40 - 49 let,394044,10201308,25.89
2022-12-31,M,Muž,50-59,50 - 59 let,313084,11852839,37.86
2022-12-31,M,Muž,60+,60 a více let,123536,6486957,52.51
2022-12-31,T,Celkem,0-20,do 20 let,35351,477940,13.52
2022-12-31,T,Celkem,20-29,20 - 29 let,650559,11253926,17.3
2022-12-31,T,Celkem,30-39,30 - 39 let,753102,15710530,20.86
2022-12-31,T,Celkem,40-49,40 - 49 let,959984,24282888,25.3
2022-12-31,T,Celkem,50-59,50 - 59 let,795368,27941908,35.13
2022-12-31,T,Celkem,60+,60 a více let,243549,11359851,46.64
2023-03-31,F,Žena,0-20,do 20 let,3995,61939,15.5
2023-03-31,F,Žena,20-29,20 - 29 let,73951,1471790,19.9
2023-03-31,F,Žena,30-39,30 - 39 let,89503,2160305,24.14
2023-03-31,F,Žena,40-49,40 - 49 let,129997,3549486,27.3
2023-03-31,F,Žena,50-59,50 - 59 let,124179,4361381,35.12
2023-03-31,F,Žena,60+,60 a více let,31615,1200260,37.96
2023-03-31,M,Muž,0-20,do 20 let,4841,64378,13.3
2023-03-31,M,Muž,20-29,20 - 29 let,75560,1243083,16.45
2023-03-31,M,Muž,30-39,30 - 39 let,87963,1861270,21.16
2023-03-31,M,Muž,40-49,40 - 49 let,86941,2700792,31.06
2023-03-31,M,Muž,50-59,50 - 59 let,76873,3276070,42.62
2023-03-31,M,Muž,60+,60 a více let,30599,1571000,51.34
2023-03-31,T,Celkem,0-20,do 20 let,8836,126317,14.3
2023-03-31,T,Celkem,20-29,20 - 29 let,149511,2714873,18.16
2023-03-31,T,Celkem,30-39,30 - 39 let,177466,4021575,22.66
2023-03-31,T,Celkem,40-49,40 - 49 let,216938,6250278,28.81
2023-03-31,T,Celkem,50-59,50 - 59 let,201052,7637451,37.99
2023-03-31,T,Celkem,60+,60 a více let,62214,2771260,44.54
2023-06-30,F,Žena,0-20,do 20 let,6712,109669,16.34
2023-06-30,F,Žena,20-29,20 - 29 let,125360,2728458,21.76
2023-06-30,F,Žena,30-39,30 - 39 let,152281,3969966,26.07
2023-06-30,F,Žena,40-49,40 - 49 let,214496,6492179,30.27
2023-06-30,F,Žena,50-59,50 - 59 let,205665,8074189,39.26
2023-06-30,F,Žena,60+,60 a více let,53990,2332070,43.19
2023-06-30,M,Muž,0-20,do 20 let,8156,110048,13.49
2023-06-30,M,Muž,20-29,20 - 29 let,127965,2186240,17.08
2023-06-30,M,Muž,30-39,30 - 39 let,146681,3289459,22.43
2023-06-30,M,Muž,40-49,40 - 49 let,143670,4855450,33.8
2023-06-30,M,Muž,50-59,50 - 59 let,126903,6036165,47.57
2023-06-30,M,Muž,60+,60 a více let,52437,3065349,58.46
2023-06-30,T,Celkem,0-20,do 20 let,14868,219717,14.78
2023-06-30,T,Celkem,20-29,20 - 29 let,253325,4914698,19.4
2023-06-30,T,Celkem,30-39,30 - 39 let,298962,7259425,24.28
2023-06-30,T,Celkem,40-49,40 - 49 let,358166,11347629,31.68
2023-06-30,T,Celkem,50-59,50 - 59 let,332568,14110354,42.43
2023-06-30,T,Celkem,60+,60 a více let,106427,5397419,50.71
2023-09-30,F,Žena,0-20,do 20 let,8975,147066,16.39
2023-09-30,F,Žena,20-29,20 - 29 let,165474,3745540,22.64
2023-09-30,F,Žena,30-39,30 - 39 let,195750,5413673,27.66
2023-09-30,F,Žena,40-49,40 - 49 let,269348,8739424,32.45
2023-09-30,F,Žena,50-59,50 - 59 let,260252,11006077,42.29
2023-09-30,F,Žena,60+,60 a více let,69239,3279764,47.37
2023-09-30,M,Muž,0-20,do 20 let,10805,149354,13.82
2023-09-30,M,Muž,20-29,20 - 29 let,172011,2984184,17.35
2023-09-30,M,Muž,30-39,30 - 39 let,193973,4470951,23.05
2023-09-30,M,Muž,40-49,40 - 49 let,187002,6564695,35.1
2023-09-30,M,Muž,50-59,50 - 59 let,165524,8240656,49.79
2023-09-30,M,Muž,60+,60 a více let,69318,4337265,62.57
2023-09-30,T,Celkem,0-20,do 20 let,19780,296420,14.99
2023-09-30,T,Celkem,20-29,20 - 29 let,337485,6729724,19.94
2023-09-30,T,Celkem,30-39,30 - 39 let,389723,9884624,25.36
2023-09-30,T,Celkem,40-49,40 - 49 let,456350,15304119,33.54
2023-09-30,T,Celkem,50-59,50 - 59 let,425776,19246733,45.2
2023-09-30,T,Celkem,60+,60 a více let,138557,7617029,54.97
2023-12-31,F,Žena,0-20,do 20 let,13122,201659,15.37
2023-12-31,F,Žena,20-29,20 - 29 let,236783,5012150,21.17
2023-12-31,F,Žena,30-39,30 - 39 let,279733,7204012,25.75
2023-12-31,F,Žena,40-49,40 - 49 let,388527,11570147,29.78
2023-12-31,F,Žena,50-59,50 - 59 let,378249,14582812,38.55
2023-12-31,F,Žena,60+,60 a více let,103120,4460248,43.25
2023-12-31,M,Muž,0-20,do 20 let,15654,207250,13.24
2023-12-31,M,Muž,20-29,20 - 29 let,244622,4029239,16.47
2023-12-31,M,Muž,30-39,30 - 39 let,275689,5982427,21.7
2023-12-31,M,Muž,40-49,40 - 49 let,263351,8599712,32.65
2023-12-31,M,Muž,50-59,50 - 59 let,231817,10787608,46.54
2023-12-31,M,Muž,60+,60 a více let,97914,5739641,58.62
2023-12-31,T,Celkem,0-20,do 20 let,28776,408909,14.21
2023-12-31,T,Celkem,20-29,20 - 29 let,481405,9041389,18.78
2023-12-31,T,Celkem,30-39,30 - 39 let,555422,13186439,23.74
2023-12-31,T,Celkem,40-49,40 - 49 let,651878,20169859,30.94
2023-12-31,T,Celkem,50-59,50 - 59 let,610066,25370420,41.59
2023-12-31,T,Celkem,60+,60 a více let,201034,10199889,50.74
2024-03-31,F,Žena,0-20,do 20 let,3521,55260,15.69
2024-03-31,F,Žena,20-29,20 - 29 let,61906,1243926,20.09
2024-03-31,F,Žena,30-39,30 - 39 let,77549,1943757,25.06
2024-03-31,F,Žena,40-49,40 - 49 let,112806,3141497,27.85
2024-03-31,F,Žena,50-59,50 - 59 let,115639,4080159,35.28
2024-03-31,F,Žena,60+,60 a více let,32449,1262055,38.89
2024-03-31,M,Muž,0-20,do 20 let,4400,57833,13.14
2024-03-31,M,Muž,20-29,20 - 29 let,62619,1050194,16.77
2024-03-31,M,Muž,30-39,30 - 39 let,76703,1656550,21.6
2024-03-31,M,Muž,40-49,40 - 49 let,78504,2432914,30.99
2024-03-31,M,Muž,50-59,50 - 59 let,72860,3105759,42.63
2024-03-31,M,Muž,60+,60 a více let,30161,1558113,51.66
2024-03-31,T,Celkem,0-20,do 20 let,7921,113093,14.28
2024-03-31,T,Celkem,20-29,20 - 29 let,124525,2294120,18.42
2024-03-31,T,Celkem,30-39,30 - 39 let,154252,3600307,23.34
2024-03-31,T,Celkem,40-49,40 - 49 let,191310,5574411,29.14
2024-03-31,T,Celkem,50-59,50 - 59 let,188499,7185918,38.12
2024-03-31,T,Celkem,60+,60 a více let,62610,2820168,45.04
